name,ring,quadrant,isNew,description
Amazon EC2,Trial,Tools & Platforms,FALSE,"Amazon EC2 is Amazon Elastic Compute Cloud (EC2) is a web service that provides resizable compute capacity in the cloud. It allows users to launch and manage virtual servers, known as EC2 instances, on AWS."
Azure Container Instances,Trial,Tools & Platforms,FALSE,Azure Container Instances is a serverless container service provided by Microsoft Azure. It allows you to deploy containers without managing the underlying infrastructure and is well-suited for quick and simple container deployments.
Azure Event Grid,Trial,Tools & Platforms,FALSE,Central service on Azure for routing and managing events used to provide event-driven communication and integration between other Azure cloud services and user-built serverless applications. Dynamically scalable and minimum user management.
Azure HDInsight,Trial,Tools & Platforms,FALSE,"Hadoop ecosystem offered as PaaS on Azure Cloud, offering scalable on demand worker instances. Recommended for users that want to run dedicated or custom tailored distributed compute environments or their own applications on such systems."
Azure IoT Hub,Trial,Tools & Platforms,FALSE,"Managed service, hosted in the cloud, that acts as a central message hub for bi-directional communication between your IoT application and the devices it manages. Built on top of EventHub."
Azure Logic Apps,Trial,Tools & Platforms,FALSE,"Cloud service that helps you schedule, automate, and orchestrate tasks, business processes, and workflows when you need to integrate apps, data, systems, and services across enterprises or organizations in an easy and intuitive way."
Azure Stream Analytics,Trial,Tools & Platforms,FALSE,Azure Stream Analytics is a real-time data stream processing service by Microsoft Azure. It enables the analysis of streaming data from various sources and the creation of real-time insights and actions.
Cloud Carbon Footprint,Trial,Tools & Platforms,FALSE,"Cloud Carbon Footprint refers to the environmental impact of using cloud computing services, considering the energy consumption and carbon emissions associated with data centers and infrastructure."
Dagster,Trial,Tools & Platforms,FALSE,"Dagster is an open-source data orchestrator for building and managing data pipelines. It focuses on data quality, testing, and monitoring in data workflows."
Delta Lake,Trial,Tools & Platforms,FALSE,"Delta Lake is an open-source storage layer that brings ACID transaction capabilities to Apache Spark and big data workloads. It provides reliability, data quality, and consistency for data lakes, making it ideal for big data processing."
GCP BigTable,Trial,Tools & Platforms,FALSE,"Google Cloud Bigtable is a scalable, NoSQL database service in Google Cloud. It is designed to handle large volumes of data with low latency, making it suitable for real-time and analytical workloads."
GCP Cloud SQL,Trial,Tools & Platforms,FALSE,Google Cloud SQL is a managed database service that supports various relational database engines. It is designed for easy database administration and scaling in Google Cloud.
GCP DataProc,Trial,Tools & Platforms,FALSE,"Dataproc is a managed Spark and Hadoop service that lets you take advantage of open source data tools for batch processing, querying, streaming, and machine learning. Dataproc automation helps you create clusters quickly, manage them easily, and save money by turning clusters off when you don't need them."
GCP Spanner,Trial,Tools & Platforms,FALSE,"Google Cloud Spanner is a globally distributed, strongly consistent database service. It combines the scalability of NoSQL databases with the consistency of traditional relational databases."
GitHub Copilot,Trial,Tools & Platforms,FALSE,GitHub Copilot is an AI-powered code completion tool by GitHub and OpenAI. It assists developers by suggesting code and providing contextual information during coding.
Great Expectation,Trial,Tools & Platforms,FALSE,Great Expectation is an open-source data quality assurance framework that helps data professionals validate and document data quality rules and expectations.
Helm,Trial,Tools & Platforms,FALSE,Helm is an open-source package manager for Kubernetes applications. It simplifies the deployment and management of applications on Kubernetes using charts.
IMQP,Trial,Tools & Platforms,FALSE,AMQP (Advanced Message Queuing Protocol) is an open standard for message-oriented middleware that enables communication between different applications and services.
Jenkins,Trial,Tools & Platforms,FALSE,"Jenkins is an open-source automation server that facilitates building, testing, and deploying code. It is often used for continuous integration and continuous delivery (CI/CD) and is highly extensible through plugins."
KEDA,Trial,Tools & Platforms,FALSE,KEDA (Kubernetes Event-driven Autoscaling) is an open-source project that enables event-driven autoscaling for applications deployed on Kubernetes.
Kerberos,Trial,Tools & Platforms,FALSE,Kerberos is a network authentication protocol designed to provide strong authentication for client-server applications. It uses secret-key cryptography to secure user identities and authentication within a network.
Llama 2,Trial,Tools & Platforms,FALSE,"Llama 2 is a software architecture pattern used for building scalable, event-driven systems, with a focus on loose coupling and flexibility."
Mongo,Trial,Tools & Platforms,FALSE,"MongoDB is a NoSQL database management system that is designed for the storage of unstructured and semi-structured data. It offers flexibility and scalability, making it a popular choice for applications that require fast and efficient data access, such as content management systems and real-time analytics."
MQTT,Trial,Tools & Platforms,FALSE,"MQTT (Message Queuing Telemetry Transport) is a lightweight messaging protocol often used for low-bandwidth and high-latency or unreliable networks, commonly in IoT applications."
NATS,Trial,Tools & Platforms,FALSE,"NATS is an open-source messaging system. The NATS server is written in the Go programming language. Client libraries to interface with the server are available for dozens of major programming languages. The core design principles of NATS are performance, scalability, and ease of use."
Neo4j,Trial,Tools & Platforms,FALSE,Retrieving data. Wait a few seconds and try to cut or copy again.
OpenShift,Trial,Tools & Platforms,FALSE,OpenShift is a container management platform by Red Hat that simplifies the deployment and scaling of containerized applications using Kubernetes.
Prometheus,Trial,Tools & Platforms,FALSE,"Prometheus is an open-source monitoring and alerting toolkit designed for reliability and scalability. It is widely used for collecting and storing time-series data, as well as alerting based on that data. Prometheus is particularly popular in the cloud-native and containerized application environments."
Solace,Trial,Tools & Platforms,FALSE,Solace is a messaging platform that provides event-driven communication capabilities and is often used for building real-time applications.
Trino,Trial,Tools & Platforms,FALSE,Trino (formerly PrestoSQL) is an open-source distributed SQL query engine for running interactive and ad-hoc SQL queries on various data sources.
Amazon AI Services,Assess,Tools & Platforms,FALSE,"Amazon AI Services is a collection of machine learning and artificial intelligence tools offered by Amazon Web Services (AWS). It includes services for text and speech analysis, computer vision, and more."
Amazon Aurora,Assess,Tools & Platforms,FALSE,"Amazon Aurora is a managed relational database service by AWS. It is compatible with MySQL and PostgreSQL and offers high performance, scalability, and availability for database applications."
Amazon Control Tower,Assess,Tools & Platforms,FALSE,Amazon Control Tower is a service that simplifies the setup and management of multi-account AWS environments. It provides guardrails and best practices for security and compliance in AWS accounts.
Amazon ECR,Assess,Tools & Platforms,FALSE,"Amazon ECR is Amazon Elastic Container Registry (ECR) is a fully managed Docker container registry service on AWS. It allows users to store, manage, and deploy Docker container images in a secure and scalable manner."
Amazon EFS,Assess,Tools & Platforms,FALSE,"Amazon EFS is Amazon Elastic File System (EFS) is a scalable, fully managed file storage service by AWS. It can be used to create shared file systems for multiple EC2 instances and supports various use cases."
Amazon EMR,Assess,Tools & Platforms,FALSE,Retrieving data. Wait a few seconds and try to cut or copy again.
Amazon EventBridge,Assess,Tools & Platforms,FALSE,Amazon EventBridge is Amazon EventBridge is an event bus service that simplifies event-driven architectures in the AWS ecosystem. It enables the integration and routing of events from various AWS services and custom applications.
Amazon Fargate,Assess,Tools & Platforms,FALSE,"Amazon Fargate is Amazon Fargate is a serverless compute engine for containers. It allows users to run containers without managing the underlying infrastructure, making it easier to deploy and scale containerized applications."
Amazon IoT Core,Assess,Tools & Platforms,FALSE,"Amazon IoT Core is Amazon IoT Core is a managed cloud service for the Internet of Things (IoT). It provides the necessary tools to connect and manage IoT devices securely, process data, and interact with other AWS services."
Amazon IoT Things Graph,Assess,Tools & Platforms,FALSE,Amazon IoT Things Graph is Amazon IoT Things Graph is a service for creating and deploying IoT applications. It simplifies the development of IoT solutions by visually modeling the interactions between devices and services.
Amazon Rekognition,Assess,Tools & Platforms,FALSE,"Amazon Rekognition is Amazon Rekognition is a deep learning-based image and video analysis service. It can identify objects, people, text, and activities in images and videos, making it useful for various computer vision applications."
Amazon SageMaker,Assess,Tools & Platforms,FALSE,"Amazon SageMaker is Amazon SageMaker is a machine learning service by AWS that simplifies the development and deployment of machine learning models. It provides tools for data preparation, training, and model hosting."
Apache Derbi,Assess,Tools & Platforms,FALSE,Apache Derby (or Apache Derby) is an open-source relational database management system (RDBMS) written in Java. It is known for its small footprint and is often used in embedded systems and as a Java-based RDBMS for applications.
Apache Hadoop,Assess,Tools & Platforms,FALSE,Apache Hadoop is an open-source framework for distributed storage and processing of large datasets. It is designed to handle big data workloads and consists of the Hadoop Distributed File System (HDFS) and the MapReduce processing engine.
Apache Hive,Assess,Tools & Platforms,FALSE,Apache Hive is an open-source data warehousing and SQL-like query language tool built on top of Hadoop. It provides a way to query and manage large datasets stored in Hadoop using SQL-like syntax.
Apache Ignite,Assess,Tools & Platforms,FALSE,"Apache Ignite is an in-memory data fabric and computing platform that provides high-performance, distributed data storage and processing capabilities. It is often used for real-time data processing and analytics."
Azure Key Vault,Assess,Tools & Platforms,FALSE,"Azure Key Vault is a cloud-based service by Microsoft Azure that helps manage and safeguard cryptographic keys, certificates, and secrets used by cloud applications and services."
Azure Machine Learning,Assess,Tools & Platforms,FALSE,"Azure Machine Learning is a cloud-based service by Microsoft Azure that provides tools and services for building, training, and deploying machine learning models. It supports end-to-end machine learning workflows."
DuckDB,Assess,Tools & Platforms,FALSE,"DuckDB is an open-source, in-memory analytical database designed for fast query performance. It is often used for analytical workloads and data exploration."
Google AI Platform,Assess,Tools & Platforms,FALSE,"Google AI Platform is a cloud-based machine learning platform by Google Cloud that allows data scientists and developers to build, train, and deploy machine learning models at scale."
Google AI Services,Assess,Tools & Platforms,FALSE,"Google AI Services are various machine learning and artificial intelligence tools and APIs provided by Google Cloud, offering capabilities such as natural language processing, computer vision, and speech recognition."
Google Cloud IoT,Assess,Tools & Platforms,FALSE,Google Cloud IoT provides a set of tools and services for building Internet of Things (IoT) applications on Google Cloud infrastructure.
Google Cloud IoT Core,Assess,Tools & Platforms,FALSE,Google Cloud IoT Core is a managed service within Google Cloud IoT that simplifies device management and secure data ingestion for IoT devices.
Google Cloud Key Management Service,Assess,Tools & Platforms,FALSE,Google Cloud Key Management Service (KMS) is a cloud-based service for managing encryption keys and cryptographic operations. It helps secure data and resources in the Google Cloud environment.
Google Vision AI,Assess,Tools & Platforms,FALSE,"Google Vision AI is a machine learning service that offers image analysis capabilities, including object detection, OCR, and facial recognition, provided by Google Cloud."
Informatica,Assess,Tools & Platforms,FALSE,"Informatica is a data integration and management software company known for its suite of data management solutions, including data integration, quality, and governance."
MariaDB,Assess,Tools & Platforms,FALSE,MariaDB is an open-source relational database management system (RDBMS) that is compatible with MySQL and offers enhanced features and performance.
MySQL,Assess,Tools & Platforms,FALSE,MySQL is an open-source relational database management system (RDBMS) known for its speed and reliability. It is widely used for data storage and retrieval in web applications and small to medium-sized businesses.
